Ticker,Company,Sector,Current Price,Intrinsic Value,Margin of Safety,MoS %,MoS Band,Piotroski F-Score,Altman Z-Score,WACC,ROIC,EV/FCF Yield,Normalized EPS,EPV Value,Multiple Value,DCF Value,Interest Coverage,Debt/Equity,Years of Data
EXR,Extra Space Storage Inc.,Real Estate,155.9324951171875,41.33000243831164,-2.772864406430397,-277.3%,Overvalued,7,1.61,8.6%,4.3%,3.3%,4.133000243831164,45.92222493145738,41.33000243831164,136.99703098389818,2.3x,1.04,4
IVZ,Invesco Ltd.,Financial Services,28.18000030517578,7.456964892412231,-2.779017430248343,-277.9%,Overvalued,6,N/A,7.4%,-2.5%,4.7%,0.7456964892412231,8.285516547124702,7.456964892412231,N/A,-8.4x,0.80,4
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,99.70500183105469,26.288956306150858,-2.7926572919034673,-279.3%,Overvalued,7,5.06,6.7%,14.7%,3.5%,2.628895630615086,29.209951451278734,26.288956306150858,105.99680207337916,11.3x,0.55,4
EXPE,"Expedia Group, Inc.",Consumer Cyclical,304.6400146484375,80.28480691362013,-2.7944914655671425,-279.4%,Overvalued,7,1.77,9.7%,74.7%,6.7%,8.028480691362013,89.20534101513348,80.28480691362013,335.6984330144064,7.2x,5.00,4
COR,"Cencora, Inc.",Healthcare,321.7200012207031,83.61644925248658,-2.8475683205495104,-284.8%,Overvalued,6,4.90,7.2%,64.6%,4.5%,8.361644925248658,92.90716583609621,83.61644925248658,374.1391659139687,9.4x,5.08,4
CBRE,"CBRE Group, Inc.",Real Estate,149.32000732421875,38.57363554541084,-2.8710379567005466,-287.1%,Overvalued,5,3.18,9.4%,6.0%,2.0%,3.8573635545410836,42.859595050456484,38.57363554541084,N/A,N/A,1.13,4
CAT,Caterpillar Inc.,Industrials,782.864990234375,199.28701190615385,-2.928329210952461,-292.8%,Overvalued,6,4.98,11.2%,16.1%,2.0%,19.928701190615385,221.43001322905985,199.28701190615385,212.19983409836254,22.2x,2.03,4
COO,"The Cooper Companies, Inc.",Healthcare,72.91000366210938,18.550932230491178,-2.930260903129768,-293.0%,Overvalued,6,3.52,8.0%,5.1%,2.1%,1.855093223049118,20.612146922767977,18.550932230491178,36.69866523230668,6.8x,0.30,4
BSX,Boston Scientific Corporation,Healthcare,46.750099182128906,11.846091868732271,-2.946457591260597,-294.6%,Overvalued,7,3.20,6.8%,9.3%,2.7%,1.1846091868732271,13.162324298591413,11.846091868732271,N/A,11.4x,0.47,4
AMT,American Tower Corporation,Real Estate,172.77499389648438,43.108604390935895,-3.007900425855874,-300.8%,Overvalued,7,1.15,6.8%,8.3%,2.5%,4.31086043909359,47.89844932326211,43.108604390935895,180.2185835719147,3.6x,12.31,4
