Ticker,Company,Sector,Current Price,Intrinsic Value,Margin of Safety,MoS %,MoS Band,Piotroski F-Score,Altman Z-Score,WACC,ROIC,EV/FCF Yield,Normalized EPS,EPV Value,Multiple Value,DCF Value,Interest Coverage,Debt/Equity,Years of Data
APH,Amphenol Corporation,Technology,150.59500122070312,21.387386856982374,-6.041299726223362,-604.1%,Overvalued,6,6.90,10.2%,26.5%,1.4%,2.1387386856982373,23.76376317442486,21.387386856982374,N/A,16.2x,1.16,4
ABBV,AbbVie Inc.,Healthcare,266.9800109863281,35.6620760799435,-6.486384426634062,-648.6%,Overvalued,7,2.73,5.7%,26.9%,3.8%,3.5662076079943503,39.624528977715,35.6620760799435,438.5818028361261,6.9x,N/A,4
FTNT,"Fortinet, Inc.",Technology,145.23500061035156,19.1213823330433,-6.595423703200249,-659.5%,Overvalued,6,8.32,10.0%,N/A,1.7%,1.9121382333043302,21.245980370048112,19.1213823330433,36.50760014932448,103.7x,0.81,4
ANET,"Arista Networks, Inc.",Technology,159.13999938964844,19.46371493810033,-7.17623973099457,-717.6%,Overvalued,5,19.46,12.6%,29.3%,1.3%,1.9463714938100332,21.62634993122259,19.46371493810033,N/A,N/A,N/A,4
DLR,"Digital Realty Trust, Inc.",Real Estate,186.00999450683594,21.877101369401792,-7.502497262594263,-750.2%,Overvalued,6,1.91,8.1%,1.9%,2.3%,2.1877101369401792,24.307890410446436,21.877101369401792,108.27805352670961,2.1x,0.86,4
CDNS,"Cadence Design Systems, Inc.",Technology,338.39898681640625,36.74975345882763,-8.208197469828733,-820.8%,Overvalued,6,14.36,10.2%,25.6%,1.4%,3.6749753458827623,40.83305939869736,36.74975345882763,65.769207456778,14.2x,0.48,4
APP,AppLovin Corporation,Communication Services,402.4800109863281,41.52345027671294,-8.692836416631923,-869.3%,Overvalued,9,19.32,16.7%,102.7%,1.4%,4.152345027671294,46.13716697412549,41.52345027671294,N/A,20.1x,1.66,4
FIX,"Comfort Systems USA, Inc.",Industrials,1499.4400634765625,150.19010591166548,-8.98361412940517,-898.4%,Overvalued,7,10.71,12.8%,53.2%,1.2%,15.019010591166548,166.8778954574061,150.19010591166548,N/A,188.0x,0.20,4
EQIX,"Equinix, Inc.",Real Estate,1002.8099975585938,97.31379650164733,-9.304910851377771,-930.5%,Overvalued,5,2.50,8.1%,4.4%,0.2%,9.731379650164733,108.12644055738593,97.31379650164733,N/A,3.7x,1.61,4
GLW,Corning Incorporated,Technology,124.7300033569336,11.629897742110174,-9.724944115828666,-972.5%,Overvalued,7,5.07,9.5%,9.2%,0.9%,1.1629897742110173,12.922108602344638,11.629897742110174,18.520285841878703,6.8x,0.79,4
COIN,"Coinbase Global, Inc.",Financial Services,163.6636962890625,14.716241011793198,-10.121297630142564,-1012.1%,Overvalued,5,N/A,17.1%,10.1%,2.9%,1.4716241011793199,16.351378901992444,14.716241011793198,N/A,17.0x,0.53,4
HWM,Howmet Aerospace Inc.,Industrials,278.4700012207031,24.349707051092565,-10.436277267582497,-1043.6%,Overvalued,8,13.57,10.4%,21.4%,0.8%,2.4349707051092566,27.05523005676952,24.349707051092565,N/A,14.0x,0.60,4
CAH,"Cardinal Health, Inc.",Healthcare,233.24000549316406,19.26723821656807,-11.10552352503738,-1110.6%,Overvalued,6,4.89,6.4%,98.0%,4.3%,1.926723821656807,21.408042462853413,19.26723821656807,329.848913512414,10.8x,N/A,4
AVGO,Broadcom Inc.,Technology,370.5199890136719,28.69000506967387,-11.914601726763784,-1191.5%,Overvalued,8,12.83,11.7%,15.8%,1.1%,2.869000506967387,31.877783410748744,28.69000506967387,50.13618552576364,8.1x,0.80,4
IRM,Iron Mountain Incorporated,Real Estate,121.30999755859375,8.95692078735478,-12.543716689987592,-1254.4%,Overvalued,4,1.14,8.2%,6.2%,N/A,0.8956920787354781,9.952134208171978,8.95692078735478,N/A,1.7x,N/A,4
AXON,"Axon Enterprise, Inc.",Industrials,547.6599731445312,25.570153731894525,-20.417938229343388,-2041.8%,Overvalued,4,7.99,11.2%,-1.2%,0.4%,2.5570153731894525,28.411281924327252,25.570153731894525,N/A,-0.7x,0.59,4
CNC,Centene Corporation,Healthcare,63.31999969482422,2.7075172825635887,-22.386738877939955,-2238.7%,Overvalued,4,3.07,7.4%,-1.2%,12.9%,0.27075172825635885,3.008352536181765,2.7075172825635887,N/A,-0.5x,0.91,4
GEV,GE Vernova Inc.,Industrials,900.5850219726562,30.61949593205824,-28.41214394812276,-2841.2%,Overvalued,7,3.64,9.3%,31.3%,0.6%,3.061949593205824,34.02166214673138,30.61949593205824,N/A,N/A,0.10,4
CIEN,Ciena Corporation,Technology,328.54998779296875,10.862068251759581,-29.24746118123,-2924.7%,Overvalued,7,9.59,10.8%,7.5%,0.5%,1.086206825175958,12.068964724177311,10.862068251759581,N/A,3.4x,0.60,4
AMD,"Advanced Micro Devices, Inc.",Technology,425.9779052734375,12.495395569386872,-33.0907899160122,-3309.1%,Overvalued,7,30.93,16.9%,4.8%,0.5%,1.2495395569386871,13.883772854874302,12.495395569386872,N/A,28.2x,0.06,4
CVNA,Carvana Co.,Consumer Cyclical,67.22000122070312,1.6753028879562237,-39.12408842839625,-3912.4%,Overvalued,5,7.38,19.1%,22.4%,0.2%,0.16753028879562237,1.861447653284693,1.6753028879562237,N/A,3.7x,1.60,4
DDOG,"Datadog, Inc.",Technology,260.20001220703125,2.19069221439617,-117.77524852515684,-11777.5%,Overvalued,7,20.29,12.2%,-0.8%,0.7%,0.21906922143961702,2.4341024604401893,2.19069221439617,N/A,-4.0x,0.34,4
F,Ford Motor Company,Consumer Cyclical,15.56779956817627,0.04024180286011675,-385.85641451728696,-38585.6%,Overvalued,3,0.83,5.0%,-4.1%,3.2%,0.004024180286011675,0.04471311428901861,0.04024180286011675,N/A,-6.9x,4.61,4
